Main Storage,Main Storage codes,OS,OS codes
No main storage,NV0:NO,NA,OS:NA
960 GB Micron 7450 with PLP,NV0:1TPLP,No OS installed,OS:NO
960 GB Micron 7450 with PLP,NV0:1TPLP,Ubuntu Linux,OS:UBU
960 GB Micron 7450 with PLP,NV0:1TPLP,Windows 11 Pro,OS:WIN11P
1 TB Samsung EVO 980 Pro,NV0:1T,No OS installed,OS:NO
1 TB Samsung EVO 980 Pro,NV0:1T,Ubuntu Linux,OS:UBU
1 TB Samsung EVO 980 Pro,NV0:1T,Windows 11 Pro,OS:WIN11P
256 GB ADATA 710,NV0:256GEN3,No OS installed,OS:NO
256 GB ADATA 710,NV0:256GEN3,Ubuntu Linux,OS:UBU
256 GB ADATA 710,NV0:256GEN3,Windows 11 Pro,OS:WIN11P
512 GB ADATA 710,NV0:512GEN3,No OS installed,OS:NO
512 GB ADATA 710,NV0:512GEN3,Ubuntu Linux,OS:UBU
512 GB ADATA 710,NV0:512GEN3,Windows 11 Pro,OS:WIN11P
1 TB ADATA 710,NV0:1TGEN3,No OS installed,OS:NO
1 TB ADATA 710,NV0:1TGEN3,Ubuntu Linux,OS:UBU
1 TB ADATA 710,NV0:1TGEN3,Windows 11 Pro,OS:WIN11P
2 TB ADATA 710,NV0:2TGEN3,No OS installed,OS:NO
2 TB ADATA 710,NV0:2TGEN3,Ubuntu Linux,OS:UBU
2 TB ADATA 710,NV0:2TGEN3,Windows 11 Pro,OS:WIN11P